paper_id,printed_figure,fig_docling_index,panel,series,condition_quantity,expected_value,expected_unit,evidence_text,evidence_source,value_status,expected_scope,figure_data_status,records_status,pressure_json_status,resolved_status,resolved_scope,recipe_status,kb_status,kg_status,first_failure_stage,responsible_code,failure_category
10.1016_j.sse.2022.108584,2,4,a,*,feature_width,1,µm,cylindrical structure with d = 1μm,caption,reported,figure,absent,absent,n/a,present,paper,n/a,n/a,n/a,,,
10.1016_j.sse.2022.108584,2,4,a,*,feature_length,100,µm,L = 100μm,caption,reported,figure,absent,absent,n/a,present,paper,n/a,n/a,n/a,,,
10.1016_j.sse.2022.108584,2,4,a,*,adsorption_site_area,2e-19,m2,fictitious chemistry with s0 = 2 x 10-19 m2,caption,reported,figure,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,2,4,a,*,collision_flux,1e+24,m-2 s-1,Γ0 = 10^24 m-2 s-1,caption,reported,figure,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,2,4,a,*,chemistry_is_fictitious,,,in a fictitious chemistry,caption,reported,figure,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,4,6,a,"Arts 2019, 310 °C",deposition_temperature,310,°C,"legend 'Arts 2019, 310 °C'",legend,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments (series label not parsed into a condition),03_corpus/scripts/06_to_kb.py::to_experiments (series_ctrl only for numeric_sweep),A
10.1016_j.sse.2022.108584,4,6,a,"Model, 310 °C",deposition_temperature,310,°C,"legend 'Model, 310 °C'",legend,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments (series label not parsed into a condition),03_corpus/scripts/06_to_kb.py::to_experiments (series_ctrl only for numeric_sweep),A
10.1016_j.sse.2022.108584,4,6,a,*,feature_width,0.5,µm,"trench-like structures (d = 0.5 μm, L = 5000 μm)",in_text,reported,figure,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,4,6,a,*,feature_length,5000,µm,"trench-like structures (d = 0.5 μm, L = 5000 μm)",in_text,reported,figure,absent,absent,n/a,present,paper,n/a,n/a,n/a,,,
10.1016_j.sse.2022.108584,4,6,a,Arts 2019*,exposure,750,mTorr.s,an H2O dose of approximately 750 mTorr s,in_text,reported,reference_series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
