_stratum,classification_method,condition_status,confidence,current_granularity,current_is_model_result,current_record_id,current_record_kind,current_relevance,current_series_id,current_source_kind,doi,duplicate_evidence_bindings,fallback_substitutions,fig_docling_index,figure_data_conditions,figure_image,first_failure_stage,ground_truth_basis,ground_truth_evidence_span,incorrect_conditions,kb_visible_conditions,manual_review_required,missing_conditions,over_broadcast_conditions,panel,paper_ground_truth_entity_kind,paper_id,pressure_in_caption,pressure_in_pressure_json,pressure_json_conditions,pressure_on_record_usable,printed_figure_number,recipe_conditions,record_id,records_conditions,resolved_conditions,responsible_code_path,root_cause_category,run_structure,sample_index,sample_or_run_id,sampling_stratum,series_label,source_caption,source_curve_n_points,source_pdf_page,supported_as_physical_experiment,underlying_case_key
condition_axis|experimental,caption_inferred,"{""pressure"": ""correctly_extracted_and_bound""}",0.6,single,False,10.1002_admi.202000318-1d-S3-P003,series_member_experiment,experimental,10.1002_admi.202000318-1d-S3,vision-llm,10.1002_admi.202000318,,species,1,{},figures/fig_1.png,none_detected,dose/purge sweep: one deposition per setting,as a function of ozone exposure with a saturating exposure of TBF,,"['co_reactant_partial_pressure', 'deposition_temperature', 'molecular_mass', 'temperature', 'working_pressure']",False,,,d,experimental_case,10.1002_admi.202000318,True,True,"[{""type"": ""working_pressure"", ""value"": 750, ""unit"": ""mtorr"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""co_reactant_partial_pressure"", ""value"": 1.1, ""unit"": ""Torr"", ""context"": ""process_condition"", ""species"": ""ozone""}, {""type"": ""precursor_partial_pressure"", ""value"": null, ""unit"": null, ""context"": ""process_condition"", ""species"": ""TBF""}]",True,1,"{""temperature"": 220, ""carrier_gas"": {""species"": ""nitrogen""}}",10.1002_admi.202000318-1d-S3-P003,{},"['co_reactant_partial_pressure', 'deposition_temperature', 'molecular_mass', 'temperature', 'working_pressure']",,,separate_depositions,1,,condition_axis|experimental,,"Figure 1. Growth of iron oxide flms as measured by VASE. a) The growth per cycle as a function of ozone exposure with a saturating exposure of TBF.Because the TBF exposure required to reach saturation increases with ozone exposure,at each data point in (a),the TBF exposure was increased sufficiently to ensure TBF saturation for each ozone pulse length.b) The growth per cycle as a function of TBF e",5,,yes,10.1002_admi.202000318::F1::d::0
condition_axis|experimental,heuristic,"{""legend:100s"": ""bound_with_wrong_quantity"", ""pressure"": ""correctly_extracted_and_bound""}",0.95,single,False,10.1002_admi.202000318-6a-S4-P023,series_member_experiment,experimental,10.1002_admi.202000318-6a-S4,vision-llm,10.1002_admi.202000318,,species,6,{},figures/fig_6.png,06_to_kb.split_condition_series,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,,"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",True,,,a,unknown,10.1002_admi.202000318,False,True,"[{""type"": ""working_pressure"", ""value"": 750, ""unit"": ""mtorr"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""co_reactant_partial_pressure"", ""value"": 1.1, ""unit"": ""Torr"", ""context"": ""process_condition"", ""species"": ""ozone""}, {""type"": ""precursor_partial_pressure"", ""value"": null, ""unit"": null, ""context"": ""process_condition"", ""species"": ""TBF""}]",True,6,"{""temperature"": 220, ""carrier_gas"": {""species"": ""nitrogen""}}",10.1002_admi.202000318-6a-S4-P023,{},"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,undetermined,2,,condition_axis|experimental,ozone exposure time: 100s Ozone,"Figure 6.a) Integrated 2D GIWAXS scans of Fe2O3 flms, summed over all measured angles X as a function of Q. Three scans of flms grown using 100,60,and 20 s of ozone exposure under saturated TBF doses are shown,together with the primary peaks of α-Fe2O3 andFe2O3 indicated with black triangles and gray circles, respectively.65,71 Film thicknesses for the 20,60, and 100 s ozone samples are 90, 138, a",39,,uncertain,10.1002_admi.202000318::F6::a::100s Ozone
condition_axis|experimental,heuristic,"{""legend:60s"": ""bound_with_wrong_quantity"", ""pressure"": ""correctly_extracted_and_bound""}",0.95,single,False,10.1002_admi.202000318-6a-S5-P000,series_member_experiment,experimental,10.1002_admi.202000318-6a-S5,vision-llm,10.1002_admi.202000318,,species,6,{},figures/fig_6.png,06_to_kb.split_condition_series,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,,"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",True,,,a,unknown,10.1002_admi.202000318,False,True,"[{""type"": ""working_pressure"", ""value"": 750, ""unit"": ""mtorr"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""co_reactant_partial_pressure"", ""value"": 1.1, ""unit"": ""Torr"", ""context"": ""process_condition"", ""species"": ""ozone""}, {""type"": ""precursor_partial_pressure"", ""value"": null, ""unit"": null, ""context"": ""process_condition"", ""species"": ""TBF""}]",True,6,"{""temperature"": 220, ""carrier_gas"": {""species"": ""nitrogen""}}",10.1002_admi.202000318-6a-S5-P000,{},"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,undetermined,3,,condition_axis|experimental,ozone exposure time: 60s Ozone,"Figure 6.a) Integrated 2D GIWAXS scans of Fe2O3 flms, summed over all measured angles X as a function of Q. Three scans of flms grown using 100,60,and 20 s of ozone exposure under saturated TBF doses are shown,together with the primary peaks of α-Fe2O3 andFe2O3 indicated with black triangles and gray circles, respectively.65,71 Film thicknesses for the 20,60, and 100 s ozone samples are 90, 138, a",21,,uncertain,10.1002_admi.202000318::F6::a::60s Ozone
condition_axis|experimental,heuristic,"{""legend:20s"": ""bound_with_wrong_quantity"", ""pressure"": ""correctly_extracted_and_bound""}",0.95,single,False,10.1002_admi.202000318-6a-S6-P010,series_member_experiment,experimental,10.1002_admi.202000318-6a-S6,vision-llm,10.1002_admi.202000318,,species,6,{},figures/fig_6.png,06_to_kb.split_condition_series,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,,"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",True,,,a,unknown,10.1002_admi.202000318,False,True,"[{""type"": ""working_pressure"", ""value"": 750, ""unit"": ""mtorr"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""co_reactant_partial_pressure"", ""value"": 1.1, ""unit"": ""Torr"", ""context"": ""process_condition"", ""species"": ""ozone""}, {""type"": ""precursor_partial_pressure"", ""value"": null, ""unit"": null, ""context"": ""process_condition"", ""species"": ""TBF""}]",True,6,"{""temperature"": 220, ""carrier_gas"": {""species"": ""nitrogen""}}",10.1002_admi.202000318-6a-S6-P010,{},"['co_reactant_partial_pressure', 'molecular_mass', 'site_density', 'temperature', 'working_pressure']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,undetermined,4,,condition_axis|experimental,ozone exposure time: 20s Ozone,"Figure 6.a) Integrated 2D GIWAXS scans of Fe2O3 flms, summed over all measured angles X as a function of Q. Three scans of flms grown using 100,60,and 20 s of ozone exposure under saturated TBF doses are shown,together with the primary peaks of α-Fe2O3 andFe2O3 indicated with black triangles and gray circles, respectively.65,71 Film thicknesses for the 20,60, and 100 s ozone samples are 90, 138, a",16,,uncertain,10.1002_admi.202000318::F6::a::20s Ozone
correlation_record|experimental,metadata_inferred,"{""legend:60s"": ""bound_with_wrong_quantity"", ""pressure"": ""correctly_extracted_and_bound""}",0.6,correlation,False,10.1002_admi.202000318-F2a-5,correlation_record,experimental,,vision-llm,10.1002_admi.202000318,,species,2,{},figures/fig_2.png,none_detected,both axes are measured outputs; not a swept input,,,"['co_reactant_partial_pressure', 'molecular_mass', 'temperature', 'working_pressure']",False,,,a,derived_representation,10.1002_admi.202000318,True,True,"[{""type"": ""working_pressure"", ""value"": 750, ""unit"": ""mtorr"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""co_reactant_partial_pressure"", ""value"": 1.1, ""unit"": ""Torr"", ""context"": ""process_condition"", ""species"": ""ozone""}, {""type"": ""precursor_partial_pressure"", ""value"": null, ""unit"": null, ""context"": ""process_condition"", ""species"": ""TBF""}]",True,2,"{""temperature"": 220, ""carrier_gas"": {""species"": ""nitrogen""}}",10.1002_admi.202000318-F2a-5,{},"['co_reactant_partial_pressure', 'molecular_mass', 'temperature', 'working_pressure']",,,output_vs_output,5,,correlation_record|experimental,ozone exposure time: 60s Ozone,"Figure 2. Film compositions calculated from angle-resolved XPS measurements of Fe2O3 films grown with varying levels of ozone exposure. All samples were grown with 20-50 torr-s of TBF exposure except for the x10 TBF flm which was grown using 400 torr-s TBF exposure.Film thicknesses are 160, 135, 215, 50, and 90 A, in order of legend appearance. Angles are given with respect to the sample surface p",4,,no,10.1002_admi.202000318::F2::a::60s Ozone
condition_axis|experimental,caption_inferred,"{""deposition_temperature"": ""correctly_extracted_and_bound"", ""legend:2S"": ""correctly_extracted_and_bound""}",0.95,single,False,10.1002_celc.201600139-1b-S0-P002,series_member_experiment,experimental,10.1002_celc.201600139-1b-S0,vision-llm,10.1002_celc.201600139,,,4,"{""deposition_temperature"": ""150 °C""}",figures/fig_4.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,,"['cycle_number', 'deposition_temperature']",False,,,b,measurement,10.1002_celc.201600139,False,False,[],False,1,"{""temperature"": 150.0, ""ncycles"": 2.0}",10.1002_celc.201600139-1b-S0-P002,"{""deposition_temperature"": ""150 °C""}","['cycle_number', 'deposition_temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,6,,condition_axis|experimental,precursor: LTB:H2S,Figure 1. a) Schematic illustration of Li x Al y S ALD; b) in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAAl-H2S) = 1:1; c) Arrhenius plot for temperature-depended ionic conductivity measured using a 50 nm Li x Al y S film.,30,,no,10.1002_celc.201600139::F1::b::H2S
condition_axis|experimental,caption_inferred,"{""deposition_temperature"": ""correctly_extracted_and_bound"", ""legend:2S"": ""bound_with_wrong_quantity""}",0.95,single,False,10.1002_celc.201600139-1b-S0-P018,series_member_experiment,experimental,10.1002_celc.201600139-1b-S0,vision-llm,10.1002_celc.201600139,,,4,"{""deposition_temperature"": ""150 °C""}",figures/fig_4.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,,"['cycle_number', 'deposition_temperature']",False,,,b,measurement,10.1002_celc.201600139,False,False,[],False,1,"{""temperature"": 150.0, ""ncycles"": 18.0}",10.1002_celc.201600139-1b-S0-P018,"{""deposition_temperature"": ""150 °C""}","['cycle_number', 'deposition_temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,7,,condition_axis|experimental,precursor: LTB:H2S,Figure 1. a) Schematic illustration of Li x Al y S ALD; b) in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAAl-H2S) = 1:1; c) Arrhenius plot for temperature-depended ionic conductivity measured using a 50 nm Li x Al y S film.,30,,no,10.1002_celc.201600139::F1::b::H2S
condition_axis|experimental,caption_inferred,"{""deposition_temperature"": ""correctly_extracted_and_bound"", ""legend:2S"": ""bound_with_wrong_quantity""}",0.95,single,False,10.1002_celc.201600139-1b-S1-P022,series_member_experiment,experimental,10.1002_celc.201600139-1b-S1,vision-llm,10.1002_celc.201600139,,,4,"{""deposition_temperature"": ""150 °C""}",figures/fig_4.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,,"['cycle_number', 'deposition_temperature']",False,,,b,measurement,10.1002_celc.201600139,False,False,[],False,1,"{""temperature"": 150.0, ""ncycles"": 22.5}",10.1002_celc.201600139-1b-S1-P022,"{""deposition_temperature"": ""150 °C""}","['cycle_number', 'deposition_temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,8,,condition_axis|experimental,precursor: TDMAAl:H2S,Figure 1. a) Schematic illustration of Li x Al y S ALD; b) in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAAl-H2S) = 1:1; c) Arrhenius plot for temperature-depended ionic conductivity measured using a 50 nm Li x Al y S film.,31,,no,10.1002_celc.201600139::F1::b::H2S
condition_axis|experimental,caption_inferred,"{""deposition_temperature"": ""correctly_extracted_and_bound"", ""legend:2S"": ""bound_with_wrong_quantity""}",0.95,single,False,10.1002_celc.201600139-1b-S1-P030,series_member_experiment,experimental,10.1002_celc.201600139-1b-S1,vision-llm,10.1002_celc.201600139,,,4,"{""deposition_temperature"": ""150 °C""}",figures/fig_4.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAA,,"['cycle_number', 'deposition_temperature']",False,,,b,measurement,10.1002_celc.201600139,False,False,[],False,1,"{""temperature"": 150.0, ""ncycles"": 30.0}",10.1002_celc.201600139-1b-S1-P030,"{""deposition_temperature"": ""150 °C""}","['cycle_number', 'deposition_temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,9,,condition_axis|experimental,precursor: TDMAAl:H2S,Figure 1. a) Schematic illustration of Li x Al y S ALD; b) in situ QCM measurements of Li x Al y S ALD performed at 150 8 C using (LTB-H2S)/(TDMAAl-H2S) = 1:1; c) Arrhenius plot for temperature-depended ionic conductivity measured using a 50 nm Li x Al y S film.,31,,no,10.1002_celc.201600139::F1::b::H2S
condition_axis|experimental,caption_inferred,{},0.6,single,False,10.1002_celc.201600139-3d-S7-P000,series_member_experiment,experimental,10.1002_celc.201600139-3d-S7,vision-llm,10.1002_celc.201600139,,,10,{},figures/fig_10.png,none_detected,electrochemical trace of a single cell,impedance spectra of Li/electrolyte/Li symmetric cells using both pri,,['cycle_number'],False,,,d,measurement,10.1002_celc.201600139,False,False,[],False,3,"{""ncycles"": 20}",10.1002_celc.201600139-3d-S7-P000,{},['cycle_number'],,,one_continuous_run,10,,condition_axis|experimental,electrode: Li_xAl_yS coated Cu,Figure 3. a) AC impedance spectra of Li/electrolyte/Li symmetric cells using both pristine Li and Li x Al y S-coated Li after 68 h storage; b) R SEI of Li/electrolyte/Li symmetric cells versus storage time; c) CE of Li deposition/striping in 1 m LiPF 6 -EC/EMC with pristine Cu and Li x Al y S-coated Cu; d) comparison of hysteresis of Li deposition/striping for both pristine Cu and Li x Al y S-coat,8,,no,10.1002_celc.201600139::F3::d::Li_xAl_yS coated Cu
