scientific concept,required meaning,current representation,current level,current identity rule,ontology support,resolver support,canonical support,KG support,representative evidence,status,severity,downstream consequence,eventual repair layer
ExperimentCase,scientifically distinguishable deposition case,Experiment (result-local),result curve / sweep point,entity_id = paper+figure+panel+index,"ExperimentalCase class exists, 0 instances",mints per curve,curve_id inherits it,Experiment node 1127,am2016_182 Fig2a/b/c; Yim Fig9,OVERLOADED / UNUSED_OR_UNINSTANTIATED,CRITICAL,case evidence fragments; counts inflated,resolver + ontology instantiation
DepositionRun,one process execution,none,-,-,"DepositionRun class exists, 0 instances",none,none,none,Yim Series A 'same ALD run',UNUSED_OR_UNINSTANTIATED,HIGH,shared-run controls unrepresentable,resolver + extraction
Sample,physical specimen carried between measurements,physical_case_id (figure-scoped),figure/panel,shares_physical_case_with or entity_id,"Sample class + produced_by_run exist, 0 instances",intra-event only (66/1044),absent,absent,"Yim sample 11, Fig 8a",UNUSED_OR_UNINSTANTIATED + MISNAMED,CRITICAL,multi-technique grouping impossible,resolver + ontology instantiation
Measurement,act of observing a sample/case,MultiOutputMeasurement / ExperimentalProfile / ContinuousTrace,figure/panel,per curve group,"Measurement + performed_on + measures_case exist, 0 instances",result-shape classes only,absent,shape classes present,Yim sample 11,KEEP_BUT_CLARIFY / UNUSED,HIGH,measurements mint deposition experiments,resolver
MeasurementCondition,"instrument setting, never case-defining",none (all conditions equal),condition list,quantity+value,recipe_role exists but not this axis,no role distinction,n/a,ConditionAssertion,Yim Series B spot size,MISSING,HIGH,false deposition cases,ontology role + resolver
DepositionCondition,case-defining process setting,controlled[] entries,experiment,quantity+value,QuantityKind + recipe_role,yes,yes,ConditionAssertion 3451,Yim Series E/F correct,KEEP_BUT_CLARIFY,MEDIUM,cannot separate from measurement settings,ontology role
Material,deposited material per case/result,one material per paper,paper,scout materials,Material class; material_scope_level field,paper_single_material default,inherited,Material 25 nodes,2.067203jes SiO2+Al2O3,KEEP_BUT_MOVE_LEVEL,HIGH,stacks and second depositions vanish,resolver
Substrate/support material,role distinct from deposited,none,-,-,no role vocabulary,none,none,none,c3ta01665j TiO2 support; audit of 21,MISSING,MEDIUM,false material overlap in selection,ontology role
Stack/multi-material sample,stack as its own context,none,-,-,none,single material per entity,n/a,n/a,2.067203jes Fig 11/12,MISSING,MEDIUM,stack results mislabelled as one constituent,ontology + resolver
Geometry,varies per case within a paper,geometry_class stamped paper-wide,paper,classify_deterministic on title+abstract,geometry_classes.yaml adequate; Experiment field exists,tag_experiments stamps all,n/a,GeometryClass in core KG,2.067203jes planar+HAR,KEEP_BUT_MOVE_LEVEL,HIGH,HAR cases invisible to twin,resolver
StudySeries,"author grouping, many-to-many",ExperimentSeries (figure/table sweep),figure,experimental_series_id per entity,ExperimentSeries + case_in_series (unused),only discrete_experimental_sweep,n/a,ExperimentSeries 327,Yim samples 8/12; 6 series -> 0,MISNAMED_OR_MISLEADING,HIGH,author study structure lost,ontology clarify + resolver
ResultSeries,data from a measurement or model run,PlotSeries + Curve,curve,source slice,PlotSeries documented 'NEVER an Experiment',yes,yes,PlotSeries 1044 / Curve 1042,all papers,KEEP + DUPLICATED,MEDIUM,two node types for one object,KG
Representation,as-measured/scaled/normalized view,separate Experiments per panel,panel,panel index,"PlotRepresentation exists, 0 instances; DerivedRepresentation 2",none,separate curve_ids,none,Yim Fig 9 -> 18 Experiments,UNUSED_OR_UNINSTANTIATED,HIGH,evidence inflated 3x,resolver + ontology instantiation
Transformation,rule + application provenance,TransformationRule/Execution,value,rule id,present,n/a,yes,8 / 2126,canonical axes,KEEP (PROVENANCE_ONLY),NONE,-,no repair
Model,predictive model definition,Model + ModelFamily,corpus,ontology individuals,present,n/a,n/a,4 / 1,Yim Fig 10,KEEP,NONE,-,no repair
SimulationRun,one model execution,SimulationRun,curve,per simulated curve,present and documented 'Not a current-paper Experiment',yes,data_source simulated,112,Yim Fig 10,CORRECT_AS_IS,NONE,-,no repair
ModelSweep,family of model evaluations,ModelSweep,curve group,per sweep,present,yes,yes,95,d0cp03358h,CORRECT_AS_IS,NONE,-,no repair
experimental provenance,result came from a measurement,source=measured + entity_class,curve,explicit,present,yes,yes,yes,all,KEEP,NONE,-,no repair
simulated provenance,result came from a model run,source=simulated + SimulationRun,curve,"explicit, never defaulted",present,yes,yes,yes,Yim Fig 10,KEEP / CORRECT_AS_IS,NONE,-,no repair
imported literature provenance,result taken from another paper,ImportedLiteratureObservation,curve,explicit,present,yes,n/a,10,sse.2022.108584,KEEP,NONE,-,no repair
characterization linkage,measurement links to producing deposition,none; UnresolvedSourceEntity,curve,physical_case_id=None,"measures_case/performed_on exist, unused",fallback only,n/a,stranded nodes,c7ta03257a CV/impedance,MISSING,HIGH,characterization stranded from synthesis,resolver + ontology instantiation
