sample_code,physical_specimen_or_family,deposition_run,deposited_material,geometry,channel_height,pillar_layout,ALD_cycles,TMA_pulse,purge,other_conditions,reused_in_series,evidence,confidence
1,distinct chip/structure,RUN_A,Al2O3,LHAR channel,500,v1a,500,0.1,4.0,"300 C, mag 50x",A,Table 1 Series A,HIGH
2,distinct chip/structure,RUN_A,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,"300 C, mag 50x",A,Table 1 Series A,HIGH
3,distinct chip/structure,RUN_A,Al2O3,LHAR channel,500,v2a,500,0.1,4.0,"300 C, mag 50x",A,Table 1 Series A,HIGH
4,distinct sample code,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,mag 50x (spot 5-6 um),B,Table 1 Series B,HIGH
5,distinct sample code,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,mag 10x (spot 25 um),B,Table 1 Series B,HIGH
6,distinct sample code,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,mag 5x (spot 50 um),B,Table 1 Series B,HIGH
7,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,100,v1b,500,0.1,4.0,channel entry plugged,C,Table 1 Series C,HIGH
8,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,also the Fig. 8a repeatability sample,C and D,Table 1 Series C and D; Fig. 8a,HIGH
9,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,2000,v1b,500,0.1,4.0,,C,Table 1 Series C,HIGH
10,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,250,0.1,4.0,,D,Table 1 Series D,HIGH
11,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,1000,0.1,4.0,SEM + EDS map + EDS line scan sample,D,Table 1 Series D; Fig. 5,HIGH
12,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,4.0,,E and F,Table 1 Series E and F,HIGH
13,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.2,4.0,,E,Table 1 Series E,HIGH
14,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v2a,500,0.4,4.0,pillar layout also differs,E,Table 1 Series E,HIGH
15,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,1.0,,F,Table 1 Series F,HIGH
16,distinct chip,RUN_UNSPEC,Al2O3,LHAR channel,500,v1b,500,0.1,10.0,,F,Table 1 Series F,HIGH
