measurement_id,figure,panel,measurement_type,x_quantity,y_quantity,result_type,pdf_case_id,specimen_identity_level,PDF_page,evidence,confidence
M1,1,a,GPC / saturation,exposure_time,growth_per_cycle,process data,CASE_A,SAME_DEPOSITION_CONDITION_CASE,2-3,Fig 1(a) caption,HIGH
M2,1,b,nucleation coverage,cycle_number,surface_coverage,process data,CASE_B,SAME_DEPOSITION_CONDITION_CASE,2-3,Fig 1(b) caption,HIGH
M3,1,c-f,SEM morphology,n/a,n/a,characterization (image),CASE_B,SAME_DEPOSITION_CONDITION_CASE,2-3,Fig 1(c-f) SEM at 100/200 cycles,HIGH
M4,1,g,DFT energies,reaction coordinate,energy,simulation,(none),NOT_ESTABLISHED,3,Fig 1(g) DFT-calculated energies,HIGH
M5,2,a,GPC vs temperature,deposition_temperature,growth_per_cycle,process data,CASE_C,SAME_DEPOSITION_CONDITION_CASE,4,Fig 2(a),HIGH
M6,2,b,resistivity vs temperature,deposition_temperature,resistivity,film property,CASE_C,SAME_DEPOSITION_CONDITION_CASE,4,Fig 2(b),HIGH
M7,2,c,XPS,binding_energy,intensity,film composition,CASE_C,SAME_DEPOSITION_CONDITION_CASE,4,Fig 2(c) XPS of HDMP films at 100 and 300 C,HIGH
M8,2,d-f,SEM hair,n/a,n/a,characterization (image),CASE_D,SAME_DEPOSITION_RUN_OR_BATCH,4,Fig 2(d-f),MEDIUM
M9,2,g-i,SEM paper,n/a,n/a,characterization (image),CASE_E,SAME_DEPOSITION_RUN_OR_BATCH,4,Fig 2(g-i),MEDIUM
M10,3,a-d,SEM/photograph cotton fibre,n/a,n/a,characterization (image),CASE_F,SAME_DEPOSITION_CONDITION_CASE,5-6,Fig 3(a-d),HIGH
M11,3,e,resistance vs cycles,cycle_number,resistance,film property,CASE_F,SAME_DEPOSITION_CONDITION_CASE,5-6,Fig 3(e),HIGH
M12,3,f,resistance vs bending,bending,relative resistance,device property,CASE_F,SAME_DEPOSITION_CONDITION_CASE,5-6,Fig 3(f),HIGH
M13,4,b,capacitive response vs time,time,delta C/C0,device performance,CASE_G,SAME_PHYSICAL_SPECIMEN,7,Fig 4(b) MISSING FROM PSED,HIGH
M14,4,c,sensitivity vs force,force,delta C/C0,device performance,CASE_G,SAME_PHYSICAL_SPECIMEN,7,Fig 4(c) MISSING FROM PSED,HIGH
M15,4,d,capacitance vs (printed) ALD cycles,number of ALD cycles (as printed),capacitance,device performance,CASE_G,SAME_PHYSICAL_SPECIMEN,7,Fig 4(d) MISSING FROM PSED; printed axis label conflicts with caption,MEDIUM
M16,4,e,durability,number of applying pressure,capacitance,device performance,CASE_G,SAME_PHYSICAL_SPECIMEN,7,Fig 4(e) MISSING FROM PSED,HIGH
M17,4,g,pressure mapping,row/column,delta C/C0,device performance (2-D map),CASE_G,SAME_PHYSICAL_SPECIMEN,7,Fig 4(g) heat map,HIGH
