paper,figure_panel_series,target_entity,target_entity_class,quantity,species,value,unit,source_evidence,evidence_locator,source_kind,assertion_status,evidence_kind,expected_scope,bound_at_scope,mention_recovered,assertion_created,applicability_resolved,binding_status,resolved_output_status,inherited_by_case,recipe_status,kb_status,kg_status,canonical_status,first_missing_stage
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,cycle_number,,25,cycle,25 cycles,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,pulse_time,O3,80,s,exposures greater than 80 s,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1a/<single>,10.1002_admi.202000318-E000,ExperimentSeries,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,cycle_number,,25,cycle,25 cycles,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,pulse_time,O3,80,s,exposures greater than 80 s,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1b/<single>,10.1002_admi.202000318-E001,ExperimentSeries,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,cycle_number,,25,cycle,25 cycles,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,pulse_time,O3,80,s,exposures greater than 80 s,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1c/<single>,10.1002_admi.202000318-E002,ExperimentSeries,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,cycle_number,,25,cycle,25 cycles,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,pulse_time,O3,80,s,exposures greater than 80 s,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
